,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,FHMS_K068   A2,FHMS_K068-A2,US3137FBBX34,,United States,1000000,1091,1091,USD,ISHCMBS,10/1/2017,
12/30/2021,CSAIL_19-C18  ASB,CSAIL_19-C18-ASB,US12597DAE58,,United States,500000,525,525,USD,ISHCMBS,12/1/2019,
12/30/2021,JPMDB_17-C7   A5,JPMDB_17-C7-A5,US46648KAU07,,United States,3050000,3287,3287,USD,ISHCMBS,10/1/2017,
12/30/2021,MSC_18-H3   A4,MSC_18-H3-A4,US61767YAY68,,United States,500000,551,551,USD,ISHCMBS,7/1/2018,
12/30/2021,FHMS_K118   A1,FHMS_K118-A1,US3137F62L05,,United States,1947731,1866,1866,USD,ISHCMBS,10/1/2020,
12/30/2021,FHMS_K069  A-2,FHMS_K069-A2,US3137FBU791,,United States,2960000,3224,3224,USD,ISHCMBS,11/1/2017,
12/30/2021,FHMS K152   A1,FHMS K152-A1,US3137BPVM80,,United States,1196719,1274,1274,USD,ISHCMBS,6/1/2016,
12/30/2021,MSBAM_17-C34   A4,MSBAM_17-C34-A4,US61767EAE41,,United States,1000000,1084,1084,USD,ISHCMBS,10/1/2017,
12/30/2021,FHMS_K740   A2,FHMS_K740-A2,US3137F72B05,,United States,2000000,1995,1995,USD,ISHCMBS,11/1/2020,
12/30/2021,BNK_19-B19   A2,BNK_19-B19-A2,US06540WBC64,,United States,3000000,3137,3137,USD,ISHCMBS,8/1/2019,
12/30/2021,FHMS_K070   A2,FHMS_K070-A2,US3137FCJK14,,United States,5541000,6072,6072,USD,ISHCMBS,12/1/2017,
12/30/2021,WFCM_20-C56  ASB,WFCM_20-C56-ASB,US95002RAV06,,United States,2000000,2048,2048,USD,ISHCMBS,6/1/2020,
12/30/2021,CCUBS_17-C1   A4,CCUBS_17-C1-A4,US12508GAU04,,United States,1510000,1633,1633,USD,ISHCMBS,11/1/2017,
12/30/2021,FHMS_K741   A2,FHMS_K741-A2,US3137FF3X33,,United States,1120000,1124,1124,USD,ISHCMBS,3/1/2021,
12/30/2021,FHMS_K071   A2,FHMS_K071-A2,US3137FCLD43,,United States,1500000,1644,1644,USD,ISHCMBS,12/1/2017,
12/30/2021,WFCM_17-C42   A4,WFCM_17-C42-A4,US95001GAE35,,United States,1250000,1363,1363,USD,ISHCMBS,12/1/2017,
12/30/2021,DBGS_18-C1   A4,DBGS_18-C1-A4,US23307DBA00,,United States,1400000,1604,1604,USD,ISHCMBS,10/1/2018,
12/30/2021,BANK_18-BN10   A5,BANK_18-BN10-A5,US065404BB01,,United States,1500000,1645,1645,USD,ISHCMBS,2/1/2018,
